Environmental Brain Cube Suitability Log

=== RUN1 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax,tempWarn,humWarn,presWarn
Avg_Ax_g,0.167
Avg_Ay_g,-0.577
Avg_Az_g,8.980
Avg_Gx_dps,0.61
Avg_Gy_dps,0.98
Avg_Gz_dps,-1.63
=== END RUN SUMMARY ===


=== RUN3 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax,tempWarn,humWarn,presWarn
RUN3,10125,1.53,4073,4073,BRIGHT,23.45,23.45,43.56,43.56,1008.04,1008.04,20.62,20.62,6.02,6.02,4.51,4.51,0.323,0.323,-0.692,-0.692,8.936,8.936,0.96,0.96,1.06,1.06,-1.77,-1.77,0,0,0
RUN3,12125,3.53,4080,4089,BRIGHT,23.45,23.45,43.54,43.60,1008.03,1008.04,20.56,20.62,5.77,5.99,4.96,4.96,0.254,0.376,-0.752,-0.654,8.893,9.058,0.55,0.94,0.79,1.24,-1.73,-1.47,0,0,0
RUN3,14128,5.53,4055,4084,BRIGHT,23.44,23.45,43.49,43.60,1008.02,1008.06,20.62,20.62,5.76,5.99,4.96,4.98,0.254,0.402,-0.783,-0.680,8.902,9.041,0.68,0.94,0.92,1.15,-1.78,-1.38,0,0,0
RUN3,16132,7.53,4075,4093,BRIGHT,23.44,23.44,43.37,43.54,1008.03,1008.04,20.62,20.62,5.76,5.98,4.96,4.98,0.239,0.364,-0.761,-0.661,8.924,9.051,0.63,0.98,0.82,1.26,-1.80,-1.42,0,0,0
RUN3,18142,9.54,4033,4095,BRIGHT,23.43,23.44,43.50,43.54,1008.03,1008.05,20.62,20.62,5.74,5.97,4.95,4.99,0.237,0.376,-0.773,-0.661,8.874,9.065,0.60,1.06,0.89,1.27,-1.76,-1.35,0,0,0
RUN3,20147,11.55,4079,4093,BRIGHT,23.43,23.44,43.46,43.52,1008.03,1008.05,20.62,20.62,5.75,5.97,4.96,4.98,0.273,0.400,-0.768,-0.651,8.874,9.070,0.62,0.93,0.83,1.22,-1.76,-1.42,0,0,0
RUN3,22152,13.55,4041,4089,BRIGHT,23.43,23.44,43.29,43.35,1008.04,1008.07,20.62,20.62,5.74,5.97,4.95,4.98,0.254,0.419,-0.749,-0.630,8.850,9.063,0.70,0.97,0.77,1.15,-1.75,-1.44,0,0,0
RUN3,24164,15.56,4059,4093,BRIGHT,23.42,23.43,43.25,43.29,1008.02,1008.04,20.62,20.62,5.73,5.96,4.95,4.98,0.270,0.359,-0.766,-0.658,8.874,9.096,0.58,1.02,0.83,1.24,-1.76,-1.31,0,0,0
RUN3,26195,17.60,4053,4094,BRIGHT,23.41,23.42,43.21,43.29,1008.02,1008.04,20.62,20.62,5.74,5.96,4.95,4.98,0.259,0.385,-0.761,-0.649,8.919,9.127,0.60,1.08,0.78,1.12,-1.76,-1.46,0,0,0
RUN3,28226,19.63,4044,4093,BRIGHT,23.41,23.41,43.18,43.21,1008.01,1008.05,20.62,20.69,5.73,5.95,4.95,4.99,0.254,0.428,-0.778,-0.670,8.847,9.044,0.63,0.96,0.87,1.21,-1.80,-1.41,0,0,0
RUN3,30231,21.63,4065,4083,BRIGHT,23.40,23.41,43.20,43.24,1008.04,1008.05,20.62,20.69,5.73,5.95,4.97,4.99,0.270,0.381,-0.764,-0.661,8.879,9.029,0.66,1.14,0.87,1.24,-1.76,-1.47,0,0,0
RUN3,32234,23.64,3344,4085,NORMAL,23.39,23.40,43.19,43.33,1008.03,1008.04,20.62,20.62,5.72,5.94,4.88,5.01,0.187,0.366,-0.761,-0.680,8.874,9.072,0.61,1.01,0.77,1.09,-1.90,-1.50,0,0,0
RUN3,34238,25.64,3312,3343,NORMAL,23.39,23.40,43.18,43.21,1008.00,1008.04,20.62,20.62,5.72,5.94,4.87,4.89,0.273,0.400,-0.747,-0.630,8.869,9.044,0.54,1.11,0.71,1.23,-1.76,-1.40,0,0,0
RUN3,36248,27.65,3317,3351,NORMAL,23.39,23.39,43.18,43.23,1008.03,1008.04,20.62,20.62,5.71,5.94,4.86,4.89,0.261,0.395,-0.788,-0.670,8.862,9.070,0.60,0.98,0.73,1.28,-1.79,-1.40,0,0,0
RUN3,38252,29.65,3324,3346,NORMAL,23.38,23.39,43.24,43.47,1008.03,1008.03,20.62,20.62,5.71,5.94,4.87,4.88,0.251,0.364,-0.785,-0.680,8.855,9.044,0.69,1.02,0.80,1.17,-1.83,-1.47,0,0,0
RUN3,40261,31.66,3302,3506,NORMAL,23.38,23.38,43.26,43.31,1008.03,1008.06,20.62,20.62,5.70,5.94,4.83,4.94,0.237,0.383,-0.773,-0.661,8.898,9.111,0.67,1.32,0.72,1.24,-1.80,-1.50,0,0,0
RUN3,42293,33.69,3330,3440,NORMAL,23.36,23.38,43.28,44.56,1008.02,1008.06,20.62,20.69,5.71,5.93,4.81,4.87,-0.148,0.924,-0.843,-0.412,8.828,9.166,-0.26,1.40,0.63,1.52,-1.80,-1.25,0,0,0
RUN3,44298,35.70,3344,3394,NORMAL,23.34,23.36,44.69,45.20,1008.05,1008.07,20.62,20.62,5.71,5.93,4.80,4.84,0.251,0.371,-0.752,-0.639,8.888,9.070,0.53,1.03,0.82,1.28,-1.76,-1.47,0,0,0
RUN3,46329,37.73,3350,3403,NORMAL,23.32,23.34,45.32,45.83,1008.04,1008.07,20.62,20.62,5.71,5.93,4.80,4.83,0.239,0.371,-0.756,-0.651,8.816,9.015,0.62,0.95,0.85,1.17,-1.88,-1.42,0,0,0
RUN3,48361,39.76,3370,3401,NORMAL,23.30,23.32,45.73,46.33,1008.04,1008.06,20.62,20.62,5.71,5.93,4.80,4.84,0.254,0.373,-0.768,-0.658,8.874,9.063,0.66,0.96,0.84,1.20,-1.77,-1.45,0,0,0
RUN3,50393,41.79,3389,3436,NORMAL,23.28,23.30,46.11,46.24,1008.03,1008.04,20.62,20.62,5.70,5.93,4.79,4.84,0.136,0.589,-1.072,-0.575,8.807,9.240,0.12,2.15,-0.25,3.18,-1.98,-1.34,0,0,0
RUN3,52397,43.80,3355,3398,NORMAL,23.27,23.28,46.32,46.72,1008.02,1008.04,20.62,20.62,5.70,5.92,4.80,4.82,0.275,0.448,-0.768,-0.371,8.797,9.051,0.47,1.22,-0.05,1.28,-1.76,-1.43,0,0,0
RUN3,54428,45.83,3363,3405,NORMAL,23.25,23.27,46.86,47.34,1008.03,1008.06,20.62,20.62,5.70,5.92,4.80,4.83,0.282,0.388,-0.778,-0.649,8.898,9.065,0.54,1.07,0.89,1.28,-1.77,-1.47,0,0,0
RUN3,56459,47.86,3349,3527,NORMAL,23.24,23.25,47.48,47.70,1008.02,1008.06,20.62,20.62,5.70,5.92,4.80,4.92,0.256,0.785,-0.761,-0.299,8.551,9.245,-0.11,1.31,0.19,1.12,-1.96,-1.47,0,0,0
RUN3,58465,49.87,3338,3438,NORMAL,23.22,23.24,46.73,47.38,1008.04,1008.07,20.62,20.62,5.69,5.92,4.88,4.92,0.282,0.388,-0.790,-0.654,8.843,9.065,0.63,0.98,0.83,1.24,-1.82,-1.44,0,0,0
RUN3,60497,51.90,3382,3434,NORMAL,23.22,23.23,45.48,46.13,1008.05,1008.07,20.62,20.62,5.69,5.91,4.88,4.91,0.235,0.371,-0.778,-0.668,8.900,9.075,0.70,1.02,0.88,1.24,-1.78,-1.49,0,0,0
RUN3,62529,53.93,3376,3429,NORMAL,23.21,23.22,44.97,45.26,1008.03,1008.07,20.62,20.62,5.69,5.92,4.88,4.92,0.273,0.364,-0.771,-0.651,8.855,9.087,0.68,1.05,0.89,1.21,-1.76,-1.41,0,0,0
RUN3,64539,55.94,3390,3432,NORMAL,23.20,23.21,44.80,44.92,1008.04,1008.07,20.62,20.62,5.67,5.91,4.88,4.91,0.225,0.381,-0.761,-0.615,8.864,9.060,0.62,1.04,0.86,1.24,-1.73,-1.45,0,0,0
RUN3,66569,57.97,3379,3433,NORMAL,23.20,23.21,44.80,44.80,1008.02,1008.04,20.62,20.62,5.68,5.91,4.88,4.91,0.232,0.383,-0.783,-0.644,8.919,9.046,0.66,0.98,0.81,1.14,-1.86,-1.40,0,0,0
RUN3,68600,60.00,3376,3427,NORMAL,23.20,23.20,44.80,44.82,1008.04,1008.06,20.62,20.62,5.68,5.91,4.89,4.91,0.268,0.376,-0.773,-0.637,8.879,9.027,0.59,1.04,0.85,1.18,-1.82,-1.40,0,0,0
RUN3,70632,62.03,3387,3422,NORMAL,23.20,23.20,44.78,44.81,1008.03,1008.08,20.62,20.62,5.69,5.91,4.90,4.92,0.254,0.385,-0.759,-0.646,8.886,9.051,0.62,1.06,0.85,1.21,-1.81,-1.38,0,0,0
